id,source,text,word_count
1,Web Scrape,"KDE Frameworks is a collection of libraries and software frameworks readily available to any Qt-based software stacks or applications on multiple operating systems. Featuring frequently needed functionality solutions like hardware integration, file format support, additional graphical control elements, plotting functions, and spell checking, the collection serves as the technological foundation for KDE Plasma and KDE Gear. It is distributed under the GNU Lesser General Public License (LGPL). As of September 2025, the latest stable release is KDE Frameworks 6 (KF6). KDE Frameworks is based on Qt, which enables a more widespread use of QML, a simpler JavaScript-based declarative programming language, for the design of user interfaces. The graphics rendering engine used by QML allows for more fluid user interfaces across different devices. Since the split of the KDE Software Compilation into KDE Frameworks 5, KDE Plasma 5 and KDE Applications, each sub-project can pick its own development pace. KDE Frameworks are released on a monthly basis and use Git. It should be possible to install KDE Frameworks alongside the KDE Platform 4 so apps can use either one. Platform releases are those which begin a series (version number X.0). Only these major releases are allowed to break binary compatibility with the predecessor. Releases in the minor series (X.1, X.2, ...) will guarantee binary portability (API & ABI). This means, for instance, that software that was developed for KDE 3.0 will work on all (future) KDE 3 releases; however, an application developed for KDE 2 is not guaranteed to be able to make use of the KDE 3 libraries. KDE major version numbers mainly follow the Qt release cycle, meaning that KDE SC 4 is based on Qt 4, while KDE 3 was based on Qt 3.",286
2,Web Scrape,"The repository of each framework should contain a file named metainfo.yaml. This file documents the maintainer of the framework, the type, the supported operating system and other information. The currently supported platforms are Linux, Microsoft Windows, macOS and Android. The Frameworks have a clear dependency structure, divided into ""categories"" and ""tiers"". The ""categories"" refer to runtime dependencies: The KDE Frameworks bundle consists of over 70 packages. These existed as a single large package, called kdelibs, in KDE SC 4. Kdelibs was split into several individual frameworks, some of which are no longer part of KDE but were integrated into Qt 5.2. KDE Frameworks are grouped in four different tiers according to dependency on other libraries. The following image formats have read and write support: Attica is a Qt library that implements the Open Collaboration Services API version 1.6. It grants easy access to the services such as querying information about persons and contents. Further documentation: to specify information in ""data units""; i.e., the natural units of the data being plotted. KPlotWidget automatically converts everything to screen pixel units. KPlotWidget draws X and Y axes with tick marks and tick labels. It automatically determines how many tick marks to use and where they should be, based on the data limits specified for the plot. You change the limits by calling `setLimits(double x1, double x2, double y1, double y2)`. Data to be plotted are stored using the KPlotObject class. KPlotObject consists of a QList of QPointF's, each specifying the X,Y coordinates of a data point. KPlotObject also specifies the ""type"" of data to be plotted (POINTS or CURVE or POLYGON or LABEL).",270
3,Web Scrape,"The core of Kross provides the framework to deal transparently with interpreter-back-ends and offers abstract functionality to deal with scripts. Kirigami is a QML application framework developed by Marco Martin that enables developers to write applications that run natively on Android, iOS, Windows, Plasma Mobile and any classic Linux desktop environment without code adjustments. It is used by various applications, for example Linus Torvalds and Dirk Hohndels' scuba diving application Subsurface, the messenger client Banji, the Kaidan messenger, Vvave music player and the KDE software center Discover. Linux distribution use some package management system to package the software they distribute. Debian for example distributes KGlobalAccel under the package name libkf5globalaccel, while Fedora Linux distributes it under the name kf5-kglobalaccel. While being mainly written in C++, there are bindings for other programming languages available: These and other bindings use the following technologies: The 5.0 release was preceded by a technology preview, two alpha releases, and three beta releases. The source code of KDE Frameworks has been around since KDElibs 1. The first release as KDE Frameworks was with version 5, to account for the fact that the code base was that of KDE Platform version 4 (the only major version of KDE Platform). The transition from KDE Platform to KDE Frameworks began in August 2013, guided by top KDE technical contributors. After the initial release of KDE Frameworks 5.0, the developers focused on adding new features to the components in KDE Frameworks 5, an example being better integration of Firefox into KDE.",251
4,Web Scrape,"The major improvement of Frameworks 5 is its modularization. In earlier KDE versions, the libraries were bundled as a single large package. In Frameworks, the libraries were split into individual smaller packages. This facilitates utilization of the libraries by other Qt-based software, since dependencies can be kept at a minimum. While KDE 4 was based on version 4 of the Qt widget toolkit, Frameworks 5 is based on version 5. As part of the KDE project's 'MegaRelease 6', on February 28, 2024, KDE Frameworks 6 was released, upgrading it to a Qt 6 base. During KDE SC 4, the then so called KDE Platform consisted of all libraries and services needed for KDE Plasma and the applications. Starting with Qt 5, this platform was transformed into a set of modules that is now referred to as KDE Frameworks. These modules include: Solid, Nepomuk, Phonon, etc. and are licensed either under the LGPL, BSD license, MIT License or X11 license. Besides the KDE Software Compilation, there are other adopters such as the desktop environments LXQt, MoonLightDE or Hawaii. Version 3.0 of Krita, the raster graphics editor of the Calligra Suite, which was released on May 31, 2016, depends on KDE Frameworks 5 and Qt 5.2. With Kirigami, there is also increased usage by applications such as Amarok, Avogadro, Trojitá or Subsurface. Downtown Milwaukee is the central business district of Milwaukee, Wisconsin. The economic and symbolic center of the city and the Milwaukee metropolitan area, it is Milwaukee's oldest district and home to many of region's cultural, financial educational and historical landmarks including Milwaukee City Hall, Fiserv Forum and the Milwaukee Art Museum. The city's modern history began in Downtown Milwaukee in 1795 when fur trader Jacques Vieau (1757–1852) built a post along a bluff on the east side, overlooking the.",299
5,Web Scrape,"Downtown is bounded by Lake Michigan to the east, Interstate 43 to the west, East Brady Street Historic District to the north, and the three rivers of the confluence to the south, (Milwaukee River, Menomonee River, Kinnickinnic River). It encompasses several subdistricts, and its diverse architecture includes the Milwaukee City Hall, which was once the tallest City Hall in the world when completed in 1895. Downtown Milwaukee's residential population has grown significantly since the 2000s and especially 2010s, registering the largest population growth, by percentage, of any Milwaukee neighborhood over that time. The area that is now Downtown Milwaukee was once likely home to members of the Winnebago, Menominee and Potawatomi tribes. The Potawatomi was the dominant tribe in the area when French explorers first began to venture into this territory. In the years following the arrival of the French and the development of the fur trade industry, the native population rapidly declined. French fur trader Jacques Vieau was the first European to establish a permanent structure in Milwaukee in 1795. In 1835, Native Americans ceded land to the United States, thus opening the region to further colonial settlement. By the 1840s, the area that is now Downtown Milwaukee was settled and developed by three primary actors: Solomon Juneau, Byron Kilbourn and George Walker. Their identities continue to define Downtown Milwaukee. Kilbourn is known for Kilbourntown (Westown), Juneau for East Town and Walker for what is today Walker's Point. In 1845, following the ""Bridge War,"" the different neighborhoods merged into a jointly governed City of Milwaukee.",256
6,Web Scrape,"Through the late 19th and early 20th Centuries, Milwaukee welcomed a succession of immigrant groups from Germany, Poland, Ireland and Mexico. The population rose exponentially. Downtown Milwaukee served as the center of the region's economic engine. Ships docked along the Milwaukee and Menomonee Rivers and loaded their goods into warehouses in the Historic Third Ward and along Water Street. In 1895, Milwaukee City Hall was constructed, becoming the tallest building in the city and giving the city a prominent physical feature. Other large buildings were constructed in the early 20th century including the First National Bank Building (designed by Daniel Burnham), the 19-story AT&T Center (Milwaukee), Pabst Building, Cudahy Tower and the Wisconsin Gas Building, Milwaukee's most prominent Art Deco tower. Downtown Milwaukee declined during the rise of suburbanization and the decline of traditional downtown areas across America. In the 1950s, regional highway construction began. To make room for the highways, hundreds of structures in Downtown were demolished. The capstone of this regional Interstate Highway construction project was the completion of the Marquette Interchange in 1966. Several historic landmarks were demolished during Milwaukee's urban renewal, including the Pabst Building, Lake Front Depot, and Everett Street Depot. Mayor Henry Maier attempted to revive Downtown's economy by encouraging construction of the MECCA Arena, MECCA Great Hall, U.S. Bank Center and Henry Maier Festival Park. Maier's successor John Norquist is largely credited for beginning an ongoing renaissance in Downtown by changing urban planning policies. During his administration, Milwaukee began building the Milwaukee Riverwalk and redeveloped abandoned warehouses in the Historic Third Ward. That redevelopment continued through the 2000s and 2010s with the construction of The Hop, Wisconsin Center, Fiserv Forum, University Club Tower, the Santiago Calatrava designed wing of the Milwaukee Art Museum and Northwestern Mutual Tower and Commons. Downtown Milwaukee's residential.",299
7,Web Scrape,"Downtown Milwaukee covers an area of 2.5 square miles with a recorded population of 26,710 in 2020. The district includes several neighborhoods with distinctive land use patterns, architectural styles and histories. East Town, Westown, Historic Third Ward, Lower East Side, Yankee Hill are the primary neighborhoods within Downtown Milwaukee. East Town is the traditional core financial district while Westown has adopted a more transportation and cultural activity based profile. The Third Ward and Lower East Side are primarily residential and retail districts adjacent to the Downtown core. East Town is a neighborhood bounded by Lake Michigan to the east, the Milwaukee River to the west, Interstate 794 to the south and State Street to the north. was formerly known as the historic Juneau Town settlement, which had competed with the neighboring Kilbourn Town (present-day Westown) for people and resources. With the Milwaukee River as the division, these two ""towns"" have remarkably different feels. East Town is regarded as a more vibrant, densely populated area and one less severely impacted by the urban renewal efforts of the 1950s and 60s. Today most of Downtown Milwaukee's major office and residential developments are located in East Town. The U.S. Bank Center, Northwestern Mutual Tower and Commons, 100 East Wisconsin and University Club Tower are all located in the neighborhood. Most of the stops on The Hop are located in the East Town neighborhood. The neighborhood also contains the Cathedral of St. John the Evangelist and Old St. Mary's Church which have survived from the early days of Milwaukee. The East Town Neighborhood Association hosts Jazz in the Park, an outdoor music concert series at Cathedral Square Park. The area has become the center of Milwaukee nightlife featuring several trendy nightclubs, and outdoor upscale eateries. In summer, East Town sponsors the Parisian festival.",299
8,Web Scrape,"The Yankee Hill neighborhood encompass the eastern portion of downtown Milwaukee's central business district from Jackson Avenue to the west, Lake Michigan to the east, Ogden Avenue (i.e., the lower East Side) to the north and State Street to the south. Yankee Hill is a key part of the East Town neighborhood, situated within East Town's boundaries, but closer to the lake and north of downtown. Yankee Hill is home to the Milwaukee School of Engineering and several large residential complexes. In the 1950s, the Milwaukee Redevelopment Authority cleared 223 buildings and displaced more than 1,000 residents. Thirty city square blocks were cleared in preparation for the construction of a never built interstate highway. The area has since recovered with the construction of thousands of new apartments in major projects like Ascent MKE, Yankee Hill and Juneau Village complexes. The neighborhood saw 251% population growth between 2000 and 2020. Once home to Irish, and then, Italian immigrants, the Historic Third Ward, located just south of downtown, is now an upper-class mixed-use neighborhood. The Third Ward is noted for a large number of condominium and loft apartments, antique stores, boutiques and art galleries. Access to Milwaukee's Maier Festival Grounds, best known for Summerfest, can be obtained from through this neighborhood. It is home to the Milwaukee Institute of Art & Design, the Milwaukee Public Market, the Broadway Theatre Center and Milwaukee Riverwalk. The neighborhood is now home to several high-end restaurants and national retailers. The area is one of the best served by public transit in Milwaukee including the Milwaukee County Transit System and The Hop. The majority of the historic structures in the neighborhood have been redeveloped and by the 2020s the remaining surface parking lots became targeted for redevelopment by the city and developers. 333 North Water is.",299
9,Web Scrape,"Westown is an area west of the Milwaukee River and downtown, bounded by Interstate 794 to the south, Marquette University to the west, McKinley Avenue to the north, and the Milwaukee River to the east. The neighborhood comprises the original Kilbourn Town in what is now downtown Milwaukee. The Shops of Grand Avenue, Wisconsin Center and Milwaukee Symphony Orchestra are located on Wisconsin Avenue, the primary east-west avenue in the city. Westown suffered heavily during Milwaukee's urban renewal period with hundreds of historic structures demolished in an attempt to revive the area. Other attractions in this neighborhood include the Milwaukee Public Museum, Pabst Brewery Complex, Fiserv Forum, the UW–Milwaukee Panther Arena, the Milwaukee County Courthouse, the Wisconsin Club and Old World Third Street. In 2013, The Moderne opened to residents, the structure is the tallest in the Westown neighborhood and the tallest in Wisconsin west of the Milwaukee River. The Westown neighborhood has seen a substantial amount of redevelopment since the 2000s with major employers like Fiserv and Milwaukee Tool announcing high-profile office relocations to the neighborhood. The Shops of Grand Avenue underwent a major renovation project between 2019 and 2022, eventually reopening to the public in 2022 as The Avenue (Milwaukee) and anchored by a ground floor food hall with apartments and office space above. Newaukee, a local social architecture firm has hosted popular street fairs during the summer months on Wisconsin Avenue since 2014. Downtown Milwaukee has several major parks which are under the jurisdiction of the Milwaukee County Parks System. They include Veterans Park, Cathedral Square Park, Juneau Park, Catalano Square, Zeidler Union Square, MacArthur Square, Pere Marquette Park, Red Arrow Park, Burns Commons, Marshall Park, McKinley Park, Back Bay Park, Pulaski Park and Brady Street Park. Downtown Milwaukee is home to Lakefront State Park, one.",299
10,Web Scrape,"Henry Maier Festival Park is located in Downtown Milwaukee along the shore of Lake Michigan and adjacent to Lakefront State Park. The 75-acre festival park is the site of the annual Summerfest musical festival and the home of the American Family Insurance Amphitheater. It also plays host to 11 other ethnic and cultural festivals as well as several run and walks for charity events. The park is set atop a closed and redeveloped army base and was opened for public use in 1970. It plays a central component in Metropolitan Milwaukee's cultural space and is a major driver for the regional tourist economy. Downtown Milwaukee is the hub of the Milwaukee County Transit System which is the largest transit agency in the state of Wisconsin. The majority of the system's bus lines run through downtown and there are several transit points between lines located in the neighborhood. The Hop is a 2.1 mile modern streetcar system which provides free public transportation to residents and visitors of the neighborhood. The system contains 1 line with 18 stops. There are plans to extend the system but as of 2022 they remain unfunded and service is contained within Downtown. Service on The Hop began in November, 2018. The neighborhood is regionally connected by Interstate 794, Interstate 43, Interstate 94, U.S. Route 18 in Wisconsin and the Hoan Bridge. The Marquette Interchange is a prominent physical feature of Downtown Milwaukee and the regional transportation network. It is a major freeway interchange where Interstate 43, Interstate 794 and Interstate 94 meet. Originally built in the 1960s, the interchange underwent a total rebuild between 2004 and 2008, and was officially opened on August 19, 2008, after what was at the time the largest construction project in state history. It is the second busiest freeway interchange.",299
