id,source,original_text,original_word_count,summary,summary_word_count
1,Web Scrape,"Here Comes the Groom is a 2023 Philippine comedy film starring Enchong Dee, Maris Racal, Keempee de Leon, Gladys Reyes and Eugene Domingo. The film is written and directed by Chris Martinez and is under the production of Quantum Films, Cineko Productions and Brightlight Productions. It is one of the official entries for 2023 Metro Manila Summer Film Festival and was released on April 8, 2023. The film is the standalone sequel to the film, Here Comes the Bride released in 2010, also written and directed by Martinez. Like its predecessor, the film features body swapping between multiple people. Rodrigo Sr., his wife Salve, their children Rodrigo Jr. and Blesilda are a devout Roman Catholic family serving in their parish church. Junior is preparing for his wedding to his fiancée Yumi. On their way to the resort venue, they encounter a group of drag performers going to a beauty pageant.",150,"here Comes the Groom is a 2023 film starring Enchong Dee, Maris Racal, Keempee de Leon, Gladys Reyes and Eugene Domingo. the film is written and directed by Chris Martinez and is under the production of Quantum Films, Cineko Productions and Brightlight Productions.",43
2,Web Scrape,"Upon recovery, Rodrigo wakes up in Wanda's body and berates the gays around him, while Wanda wakes up in Rodrigo's body. Rodrigo attempts to escape but is blocked by Mama Wendy, thinking that she is just rehearsing. Blesilda, who is now on Whitney's body prays for forgiveness to God, thinking that she and her father had died and have been reborn as gays as divine punishment. Wanda desperately tries to avoid Salve's advances while despairing at being in an aged body. Whitney, now on Blesilda's body, is initially ecstatic, showing her wild side to Salve and bonding with her but later laments having to endure dysmenorrhea. Junior, now on Wilhelmina's body, escapes and overpowers transphobic drunkards on his way to the venue, but is unable to enter despite claiming he's the groom. Wilhelmina, now in Junior's body, is disappointed at his appearance and is desperate to avoid the sexual.",149,"Wanda tries to escape but is blocked by Mama Wendy. Wanda desperately tries to avoid Salve is advances while despairing at being in an aged body. Junior, now on Wilhelmina is body, escapes and overpowers transphobic drunkards.",37
3,Web Scrape,"With the help of Salve's barangay chairman cousin Joy, who had initially invited the gays for the pageant and had quickly guessed what happened, Rodrigo, Blesilda and Mama Wendy go to the resort to seek Salve, Wanda and Wilhelmina/Junior. On their way, Blesilda and Rodrigo encounter Salve and confront a defensive Whitney at a mall before being stopped by Mama Wendy and Joy, who explain to her everything and reveal that Whitney is an orphan who wanted to experience having a family. Junior manages to enter the resort and confronts Sean who is about to kiss Wilhelmina as Salve and Joy arrive. Rodrigo sees Wanda wearing makeup and partying and launches homophobic rants. Angered, Mama Wendy and her group prepare to leave for the beauty pageant but Junior, reeling from his earlier brawl with the transphobes, berates his father for his bigotry and begs the gays to stay and.",149,"Rodrigo, Blesilda and Mama Wendy go to the resort to seek Salve, Wanda and Wilhelmina/Junior. Junior confronts a defensive Whitney at a mall before being stopped by Mama Wendy and Joy. Junior berates his father for his bigotry and begs the gays to stay and stay.",46
4,Web Scrape,"On their wedding night, Yumi tries to consummate her marriage with Junior's body before he is stopped by Junior, who explains what happened. Yumi recognizes Junior because of his term of endearment to her and accepts him despite being in another body. Mama Wendy seeks help from Kuya Kim, a fellow resort guest, to return everything to normal. Kuya Kim explains that they are victims of a soul swapping that occurred during the solar eclipse at the Magnetic Hill, which previously occurred 13 years ago, and the only way to get back their souls is to recreate the accident at Magnetic Hill during the next solar eclipse, which is scheduled after seven years. Rodrigo, Salve, Junior, Blesilda, Mama Wendy, Wanda, Whitney and Wilhelmina move in together in Rodrigo's house and wait seven years for the eclipse, after which, they recreate the accident and return to normal. The film ends.",149,Mama Wendy tries to consummate her marriage with Junior is body before he is stopped by junior. the resort guest explains that they are victims of a soul swapping. the only way to get back their souls is to recreate the accident.,42
5,Web Scrape,"Due to the success of the film Here Comes the Bride in 2010, the writer and director the film decided to proceed for a sequel and conceptualized this film in mid-2022. The script was submitted to the Metro Manila Development Authority in January 2023 and was finally announced as one of the entries for the first Summer edition of Metro Manila Film Festival on February 24, 2023. Like the 2010 film, Here Comes the Groom also features body swapping caused by a vehicular accident interacting with a mysterious magnetic field during a solar eclipse, albeit with a different cast. The first trailer of the film was released on March 3, 2023. The movie's theme song is Amakabogera, performed by Maymay Entrata.",121,the script was submitted to the Metro Manila Development Authority in January 2023. it was finally announced as one of the entries for the first summer edition of the film.,30
6,Web Scrape,"Here Comes the Groom premiered in cinemas in the Philippines as one of the eight official entries of the 2023 Metro Manila Summer Film Festival which began on April 8, 2023. Proceeds from the screening of the film as part of the film festival will go to various beneficiaries in the film industry including the Movie Workers Welfare Foundation, Motion Picture and Anti-Film Piracy Council, Film Development Council of the Philippines, Movie and Television Review and Classification Board, and the Optical Media Board. Amazon Prime Video also released the movie for streaming on July 20, 2023. ""Behind a Painted Smile"" is a song written by Ivy Jo Hunter and Beatrice Verdi. It was recorded in 1967 by The Isley Brothers, appearing on the Soul on the Rocks album, and released as a single that reached number five in the UK charts in May 1969.",144,"the 2023 Metro Manila Summer Film Festival began on April 8, 2023. proceeds from the screening will go to various beneficiaries in the film industry.",25
7,Web Scrape,"This 1960s R&B/soul music song-related article is a stub. You can help Wikipedia by adding missing information. ᐸ/3³ (pronounced Broken Hearts 3) is the sixth mixtape by the American rapper Destroy Lonely. It was released through Opium and Interscope Records on September 19, 2025. The mixtape serves as a sequel to his third mixtape, ᐸ/3 (2020), and its deluxe edition, ᐸ/3² (2020). It serves as a follow-up to his second studio album, Love Lasts Forever (2024). The mixtape was preceded by the lead single, ""Jumanji"", on September 12, 2025. Opium labelmate Ken Carson makes the album's sole guest appearance on the track ""Open It Up"". At the 2024 Rolling Loud festival in Miami, Destroy Lonely stated that he was preparing a mixtape rather than an album, describing the project as a return to an earlier style of recording.",138,"/33 is the sixth mixtape by the american rapper Destroy Lonely. it was released through Opium and Interscope Records on September 19, 2025. it serves as a follow-up to his second studio album, Love Lasts Forever.",36
8,Web Scrape,"On June 5, 2025, he released his ninth extended play (EP), See U Soon </3, on SoundCloud. The EP included five tracks, among them a collaboration with Ken Carson titled ""SRTBBL"". In an interview with Clash published on April 8, 2025, Lonely said that the forthcoming mixtape was intended to focus on his existing fanbase and to highlight work developed with longtime collaborators. He described the project as more personal and less polished than his studio albums. On September 11, 2025, Lonely released the lead single ""Jumanji"". A music video accompanied the release. The following day, he announced that the mixtape would be issued on September 19, 2025. Broken Hearts 3 is a mixtape that blends ""booming bass, swirling melodies, and oscillating flows"".",123,"the EP included five tracks, among them a collaboration with Ken Carson. the project was intended to focus on his existing fanbase and to highlight work developed with longtime collaborators.",30
9,Web Scrape,"Merton Field is a grass playing field north of the main part of Christ Church Meadow and south of Merton College in central Oxford, England. To the west are Merton Walk and Christ Church, one of the Oxford colleges. To the east is the University of Oxford Botanic Garden. To the south is Broad Walk a wide path on the northern edge of Christ Church Meadow. To the north, Dead Man's Walk skirts the edge of Merton Field following the line of the old Oxford city wall and Grove Walk leads to Merton Street, between Corpus Christi College and Merton College. The tower of Merton College Chapel dominates the view north from Merton Field. Near to the eastern end of Dead Man's Walk is a plaque marking the first hot air balloon ascent in Britain, made by James Sadler (1753–1828). He ascended from Merton Field on 4 October 1783.",149,"to the west are Merton Walk and Christ Church, one of the Oxford colleges. to the east is the University of Oxford Botanic Garden.",24
10,Web Scrape,"This Oxfordshire location article is a stub. You can help Wikipedia by adding missing information. Baeckea latifolia is a species of flowering plant in the family Myrtaceae and is endemic to south-eastern continental Australia. It is a shrub with broadly elliptic leaves and small white flowers with six to eight stamens. Baeckea latifolia is an erect shrub that typically grows to a height of 1–3 m (3 ft 3 in – 9 ft 10 in) and has arching branches. The leaves are elliptic to egg-shaped with the narrower end towards the base, 6–9 mm (0.24–0.35 in) long and 2–6 mm (0.079–0.236 in) wide on a petiole 1.2–1.5 mm (0.047–0.059 in) long. The flowers are about 6 mm (0.24 in) in diameter and are borne singly in leaf axils, each flower on a pedicel about 3 mm (0.12 in) long. The sepals are oblong, 1.2–1.4 mm (0.047–0.055 in) long and.",149,Baeckea latifolia is endemic to south-eastern continental Australia. it is a shrub with broadly elliptic leaves and small white flowers.,20
